ticket_id,customer_id,created_date,ticket_category,priority,support_channel,escalated,resolved,resolution_time,csat_score,within_30d_of_cancellation
1,1,2026-06-24,Onboarding,Medium,Email,False,True,34.1,4,False
2,1,2026-07-17,Onboarding,Low,Email,False,True,23.1,4,False
3,1,2026-07-05,Usage,Urgent,Email,False,False,,,False
4,1,2026-06-14,Onboarding,Medium,Self-service,False,True,18.8,5,False
5,2,2025-06-30,Usage,Medium,Email,False,True,17.8,4,False
6,3,2025-01-05,Usage,Medium,Self-service,False,True,14.5,4,False
7,3,2025-02-12,Billing,Low,Chat,False,True,7.2,4,False
8,3,2025-09-22,Billing,High,Email,False,False,,,True
9,4,2025-11-09,Usage,Medium,Email,True,False,,,False
10,4,2025-07-01,Technical,Low,Phone,False,False,,,False
11,4,2026-06-03,Technical,High,Phone,False,False,,,False
12,5,2026-02-21,Usage,High,Phone,True,True,12.4,4,False
13,5,2026-05-21,Onboarding,Medium,Phone,True,True,10.5,3,False
14,5,2026-05-29,Technical,Medium,Email,False,True,15.0,4,True
15,6,2026-03-22,Technical,Medium,Email,False,True,6.7,4,False
16,7,2025-04-23,Onboarding,Medium,Phone,False,True,18.9,5,True
17,7,2025-02-18,Billing,Medium,Chat,False,False,,,False
18,7,2025-04-06,Billing,Medium,Phone,False,True,31.5,4,True
19,7,2025-02-13,Technical,Urgent,Phone,True,True,24.1,4,False
20,8,2026-03-22,Billing,Medium,Email,True,True,13.4,3,False
21,8,2026-06-19,Usage,Low,Phone,False,True,1.0,4,False
22,9,2026-04-19,Usage,Medium,Chat,False,False,,,False
23,9,2026-04-26,Technical,High,Self-service,True,True,1.0,3,True
24,9,2026-03-15,Billing,High,Phone,False,False,,,False
25,9,2026-04-28,Technical,High,Phone,False,False,,,True
26,9,2026-03-13,Onboarding,Medium,Chat,True,True,7.9,4,False
27,9,2026-03-25,Billing,Medium,Phone,False,True,15.0,4,False
28,10,2026-02-08,Billing,Low,Email,False,True,1.0,4,True
29,11,2025-05-08,Billing,Medium,Phone,False,True,20.8,5,False
30,11,2025-03-27,Onboarding,Medium,Email,True,True,10.7,3,False
31,12,2025-04-08,Technical,Low,Email,False,True,21.9,4,False
32,12,2024-05-22,Usage,Medium,Phone,False,True,1.0,4,False
33,12,2026-04-25,Technical,Low,Phone,False,True,4.4,5,False
34,12,2026-04-02,Usage,Medium,Email,False,True,16.7,5,False
35,13,2025-04-09,Usage,Low,Self-service,False,True,13.7,2,False
36,13,2024-12-17,Billing,Medium,Email,False,True,4.0,3,False
37,13,2025-10-25,Usage,Urgent,Chat,False,True,25.0,4,False
38,13,2026-02-23,Billing,Medium,Email,False,True,22.0,4,False
39,13,2026-04-05,Technical,Medium,Chat,False,True,4.4,4,False
40,13,2025-02-17,Technical,Low,Email,False,True,12.4,4,False
41,14,2026-04-07,Technical,Low,Email,False,True,20.3,3,False
42,15,2026-05-24,Usage,Medium,Chat,False,False,,,False
43,15,2026-05-21,Technical,Medium,Phone,False,False,,,False
44,15,2026-05-26,Billing,Medium,Chat,False,True,11.1,5,False
45,16,2026-06-14,Account,Medium,Chat,False,False,,,False
46,16,2025-01-11,Onboarding,Low,Email,False,True,11.1,5,False
47,16,2026-01-18,Usage,Medium,Email,False,True,19.2,3,False
48,16,2024-10-05,Onboarding,Medium,Chat,False,False,,,False
49,16,2024-10-06,Account,High,Phone,False,True,26.5,5,False
50,16,2025-04-21,Technical,Urgent,Email,False,True,14.2,4,False
51,17,2024-05-26,Billing,Low,Phone,False,True,21.3,5,False
52,18,2025-09-22,Onboarding,Medium,Email,False,True,19.8,4,False
53,18,2025-06-20,Account,Medium,Chat,True,False,,,False
54,19,2025-07-01,Technical,Low,Chat,False,True,6.5,5,True
55,19,2025-05-10,Onboarding,Low,Email,False,True,20.5,5,False
56,19,2025-07-20,Technical,Medium,Email,True,True,20.8,5,True
57,20,2026-03-26,Billing,High,Chat,False,True,1.0,2,False
58,20,2026-06-28,Account,Medium,Email,True,True,11.5,4,False
59,20,2026-02-16,Technical,Urgent,Self-service,False,True,2.5,5,False
60,20,2026-06-09,Technical,High,Email,True,True,2.5,4,False
61,21,2025-12-25,Usage,Medium,Chat,False,True,15.5,2,False
62,21,2025-11-08,Technical,Low,Email,False,True,28.9,5,False
63,22,2026-05-12,Account,Low,Email,True,True,16.7,5,False
64,22,2026-04-29,Billing,High,Phone,False,True,31.1,2,False
65,22,2026-06-05,Billing,Medium,Chat,False,True,28.3,3,False
66,22,2026-05-09,Technical,High,Email,False,True,9.4,3,False
67,22,2026-04-21,Account,Medium,Email,True,True,15.6,3,False
68,22,2026-07-15,Account,Medium,Email,False,True,3.6,2,False
69,23,2026-06-22,Technical,Low,Email,False,True,9.4,5,False
70,23,2026-07-14,Technical,High,Email,False,False,,,False
71,23,2026-07-26,Billing,Medium,Email,False,True,4.7,5,False
72,23,2026-06-05,Billing,Medium,Self-service,False,True,6.5,5,False
73,24,2026-07-22,Onboarding,Medium,Email,False,True,21.4,4,False
74,24,2025-12-16,Billing,Medium,Email,False,True,6.8,5,False
75,24,2025-11-28,Onboarding,High,Chat,False,True,1.0,4,False
76,24,2026-03-07,Technical,Medium,Email,False,True,1.0,2,False
77,24,2026-04-29,Billing,Low,Phone,False,True,13.6,5,False
78,25,2025-01-15,Technical,Low,Email,False,True,16.7,5,False
79,25,2026-01-18,Account,Medium,Email,False,True,1.9,3,False
80,25,2026-01-07,Account,Medium,Chat,True,False,,,False
81,25,2026-05-22,Technical,Medium,Phone,False,False,,,False
82,25,2025-12-12,Technical,Medium,Phone,False,True,9.6,5,False
83,25,2025-01-24,Billing,Medium,Chat,True,False,,,False
84,26,2026-02-07,Billing,Low,Email,True,True,1.9,4,False
85,26,2026-01-14,Technical,Medium,Chat,False,True,16.3,4,False
86,26,2026-02-24,Usage,Medium,Chat,False,True,21.0,3,False
87,26,2026-03-26,Billing,Medium,Email,False,False,,,True
88,26,2026-03-14,Account,Urgent,Phone,False,False,,,True
89,26,2026-02-14,Billing,Medium,Email,False,False,,,False
90,26,2026-01-19,Technical,High,Phone,False,True,28.4,3,False
91,26,2026-01-28,Usage,Low,Email,False,False,,,False
92,26,2026-04-01,Onboarding,High,Email,True,True,19.4,3,True
93,26,2026-01-12,Usage,Medium,Phone,False,True,1.0,4,False
94,27,2025-10-15,Billing,Low,Phone,False,True,1.0,4,False
95,27,2026-05-30,Technical,Low,Phone,False,True,13.3,5,False
96,27,2025-07-10,Account,Medium,Email,True,False,,,False
97,27,2025-06-02,Account,Medium,Email,False,False,,,False
98,27,2026-01-27,Account,Medium,Chat,False,False,,,False
99,28,2025-08-12,Billing,Medium,Email,False,True,25.3,2,False
100,29,2026-07-09,Technical,Urgent,Chat,False,True,29.8,4,False
101,29,2026-07-02,Onboarding,Low,Chat,False,False,,,False
102,29,2026-07-09,Account,Medium,Chat,False,True,1.3,5,False
103,30,2025-03-08,Onboarding,Low,Email,False,True,21.7,4,False
104,30,2025-11-17,Onboarding,Low,Email,False,False,,,False
105,30,2026-05-25,Usage,High,Email,False,False,,,False
106,31,2025-08-25,Usage,Low,Phone,True,True,16.3,1,False
107,31,2025-12-22,Billing,Medium,Chat,False,False,,,False
108,31,2026-03-10,Billing,Medium,Email,False,True,1.0,2,False
109,31,2026-04-09,Technical,Medium,Chat,False,True,13.0,3,False
110,31,2025-09-24,Technical,Urgent,Chat,False,False,,,False
111,31,2026-05-30,Cancellation,Medium,Phone,False,True,17.3,3,False
112,32,2025-12-13,Onboarding,Low,Phone,False,True,1.0,5,False
113,32,2025-06-18,Billing,Medium,Chat,False,True,1.0,5,False
114,32,2024-09-10,Usage,Medium,Chat,False,True,9.1,3,False
115,32,2026-02-01,Technical,Medium,Chat,False,False,,,False
116,32,2026-04-14,Billing,Medium,Email,False,True,13.6,4,False
117,33,2026-02-07,Technical,Medium,Phone,False,True,8.1,4,False
118,33,2026-04-14,Account,Medium,Email,False,False,,,False
