customer_id,monthly_revenue,annual_revenue
1,51.6,619.2
2,193.54,2322.48
3,107.96,1295.52
4,102.93,1235.16
5,218.61,2623.32
6,109.06,1308.72
7,209.47,2513.64
8,134.93,1619.16
9,61.69,740.28
10,102.33,1227.96
11,105.0,1260.0
12,123.85,1486.2
13,60.89,730.68
14,47.75,573.0
15,52.19,626.28
16,77.16,925.92
17,104.44,1253.28
18,77.93,935.16
19,134.87,1618.44
20,146.06,1752.72
21,103.68,1244.16
22,214.94,2579.28
23,106.92,1283.04
24,135.28,1623.36
25,104.78,1257.36
26,63.77,765.24
27,240.35,2884.2
28,54.42,653.04
29,70.58,846.96
30,116.94,1403.28
31,65.01,780.12
32,205.16,2461.92
33,101.98,1223.76
34,241.93,2903.16
35,122.76,1473.12
36,119.38,1432.56
37,209.69,2516.28
38,142.89,1714.68
39,186.5,2238.0
40,40.94,491.28
41,131.96,1583.52
42,65.32,783.84
43,121.37,1456.44
44,51.54,618.48
45,235.07,2820.84
46,271.62,3259.44
47,295.47,3545.64
48,35.12,421.44
49,107.46,1289.52
50,106.33,1275.96
51,74.52,894.24
52,25.22,302.64
53,124.25,1491.0
54,110.38,1324.56
55,144.49,1733.88
56,142.02,1704.24
57,59.39,712.68
58,36.04,432.48
59,48.11,577.32
60,206.07,2472.84
61,39.08,468.96
62,68.86,826.32
63,37.56,450.72
64,278.96,3347.52
65,278.88,3346.56
66,108.07,1296.84
67,120.91,1450.92
68,113.7,1364.4
69,65.82,789.84
70,258.24,3098.88
71,119.64,1435.68
72,123.44,1481.28
73,103.83,1245.96
74,122.86,1474.32
75,117.93,1415.16
76,192.65,2311.8
77,219.58,2634.96
78,108.1,1297.2
79,104.03,1248.36
80,41.24,494.88
81,116.13,1393.56
82,45.63,547.56
83,106.52,1278.24
84,252.25,3027.0
85,126.38,1516.56
86,97.38,1168.56
87,59.22,710.64
88,56.59,679.08
89,145.63,1747.56
90,71.6,859.2
91,36.6,439.2
92,130.5,1566.0
93,137.77,1653.24
94,125.07,1500.84
95,50.98,611.76
96,158.44,1901.28
97,126.73,1520.76
98,150.58,1806.96
99,139.33,1671.96
100,60.57,726.84
101,104.57,1254.84
102,114.57,1374.84
103,213.34,2560.08
104,93.14,1117.68
105,126.71,1520.52
106,143.21,1718.52
107,109.63,1315.56
108,284.91,3418.92
109,86.96,1043.52
110,133.98,1607.76
111,145.09,1741.08
112,111.33,1335.96
113,111.65,1339.8
114,251.28,3015.36
115,124.11,1489.32
116,79.05,948.6
117,194.7,2336.4
118,54.84,658.08
119,38.56,462.72
120,106.46,1277.52
