plan_type,region,total_monthly_revenue,total_annual_revenue,average_monthly_revenue
Basic,Asia Pacific,212.85,2554.2,53.2125
Basic,EMEA,232.59,2791.08,58.1475
Basic,Europe,474.5,5694.0,52.72222222222222
Basic,Latin America,237.63,2851.56,47.525999999999996
Basic,North America,688.77,8265.24,57.3975
Premium,Asia Pacific,419.40999999999997,5032.92,209.70499999999998
Premium,EMEA,1221.0900000000001,14653.08,244.21800000000002
Premium,Europe,739.63,8875.56,246.54333333333332
Premium,Latin America,1509.24,18110.88,251.54
Premium,North America,1463.84,17566.08,209.11999999999998
Pro,Asia Pacific,956.53,11478.36,119.56625
Pro,EMEA,701.83,8421.96,116.97166666666668
Pro,Europe,1867.25,22407.0,124.48333333333333
Pro,Latin America,727.05,8724.6,121.175
Pro,North America,3255.07,39060.84,116.25250000000001
