customer_id,transaction_date,amount,day_of_week,hour,week_num,month,quarter,days_since_last_purchase
101,2025-01-15 14:30:45,250,Wednesday,14,3,1,1,550
101,2025-01-18 09:20:10,400,Saturday,9,3,1,1,550
102,2025-01-20 16:45:30,300,Monday,16,4,1,1,547
103,2025-02-02 11:15:00,450,Sunday,11,5,2,1,535
104,2025-02-10 20:30:40,500,Monday,20,7,2,1,526
105,2025-02-18 08:10:00,200,Tuesday,8,8,2,1,519
106,2025-03-01 13:25:55,350,Saturday,13,9,3,1,508
107,2025-03-10 18:00:00,600,Monday,18,11,3,1,498
108,2025-03-15 10:40:35,700,Saturday,10,11,3,1,494
109,2025-03-28 21:50:15,550,Friday,21,13,3,1,480
