ticket_id,customer_id,created_date,ticket_category,priority,support_channel,escalated,resolved,resolution_time,csat_score,within_30d_of_cancellation,resolution_speed,high_priority,is_escalated,csat_category,resolution_status
1,1,2026-06-24,Onboarding,Medium,Email,False,True,34.1,4.0,False,Normal,False,False,Good,Resolved
2,1,2026-07-17,Onboarding,Low,Email,False,True,23.1,4.0,False,Fast,False,False,Good,Resolved
3,1,2026-07-05,Usage,Urgent,Email,False,False,,,False,,False,False,,Open
4,1,2026-06-14,Onboarding,Medium,Self-Service,False,True,18.8,5.0,False,Fast,False,False,Excellent,Resolved
5,2,2025-06-30,Usage,Medium,Email,False,True,17.8,4.0,False,Fast,False,False,Good,Resolved
6,3,2025-01-05,Usage,Medium,Self-Service,False,True,14.5,4.0,False,Fast,False,False,Good,Resolved
7,3,2025-02-12,Billing,Low,Chat,False,True,7.2,4.0,False,Fast,False,False,Good,Resolved
8,3,2025-09-22,Billing,High,Email,False,False,,,True,,True,False,,Open
9,4,2025-11-09,Usage,Medium,Email,True,False,,,False,,False,True,,Open
10,4,2025-07-01,Technical,Low,Phone,False,False,,,False,,False,False,,Open
11,4,2026-06-03,Technical,High,Phone,False,False,,,False,,True,False,,Open
12,5,2026-02-21,Usage,High,Phone,True,True,12.4,4.0,False,Fast,True,True,Good,Resolved
13,5,2026-05-21,Onboarding,Medium,Phone,True,True,10.5,3.0,False,Fast,False,True,Average,Resolved
14,5,2026-05-29,Technical,Medium,Email,False,True,15.0,4.0,True,Fast,False,False,Good,Resolved
15,6,2026-03-22,Technical,Medium,Email,False,True,6.7,4.0,False,Fast,False,False,Good,Resolved
16,7,2025-04-23,Onboarding,Medium,Phone,False,True,18.9,5.0,True,Fast,False,False,Excellent,Resolved
17,7,2025-02-18,Billing,Medium,Chat,False,False,,,False,,False,False,,Open
18,7,2025-04-06,Billing,Medium,Phone,False,True,31.5,4.0,True,Normal,False,False,Good,Resolved
19,7,2025-02-13,Technical,Urgent,Phone,True,True,24.1,4.0,False,Normal,False,True,Good,Resolved
20,8,2026-03-22,Billing,Medium,Email,True,True,13.4,3.0,False,Fast,False,True,Average,Resolved
21,8,2026-06-19,Usage,Low,Phone,False,True,1.0,4.0,False,Fast,False,False,Good,Resolved
22,9,2026-04-19,Usage,Medium,Chat,False,False,,,False,,False,False,,Open
23,9,2026-04-26,Technical,High,Self-Service,True,True,1.0,3.0,True,Fast,True,True,Average,Resolved
24,9,2026-03-15,Billing,High,Phone,False,False,,,False,,True,False,,Open
25,9,2026-04-28,Technical,High,Phone,False,False,,,True,,True,False,,Open
26,9,2026-03-13,Onboarding,Medium,Chat,True,True,7.9,4.0,False,Fast,False,True,Good,Resolved
27,9,2026-03-25,Billing,Medium,Phone,False,True,15.0,4.0,False,Fast,False,False,Good,Resolved
28,10,2026-02-08,Billing,Low,Email,False,True,1.0,4.0,True,Fast,False,False,Good,Resolved
29,11,2025-05-08,Billing,Medium,Phone,False,True,20.8,5.0,False,Fast,False,False,Excellent,Resolved
